country,level,city,speedKMH,length,turnType,globalid,type,uuid,endNode,speed,blockingAlertUuid,roadType,delay,street,objectid,pubMillis
EZ,2,Brno,16,542,NONE,{BCC13F8A-E216-3724-FB54-1EB178A0E0D0},,1678056662,PalackÃ©ho tÅ™Ã­da,4,,1,61,DobrovskÃ©ho,2022821,2024/03/26 10:25:55.117+00
EZ,3,Brno,9,614,NONE,{ED33FE34-506F-22BE-6CB6-4E3F47DC8594},,1678064662,PoÅ™Ã­Ä�Ã­,2,,1,138,RenneskÃ¡ tÅ™Ã­da,2022822,2024/03/26 10:25:58.563+00
EZ,3,Brno,12,568,NONE,{FA60D787-E476-5CD7-F2D5-E19A0F056F25},,1678070266,ÄŒernoviÄ�ky,3,,7,129,OlomouckÃ¡,2022823,2024/03/26 10:25:55.518+00
EZ,4,Brno,3,154,NONE,{78F61E06-F793-3342-C3A8-2E9639E0FFAE},,1678143864,BohunickÃ¡,1,,1,153,PraÅ¾Ã¡kova,2022824,2024/03/26 10:26:17.490+00
EZ,4,Brno,6,230,NONE,{A36D8658-C23D-99C4-1FDA-D6373EE51EB8},,1677757692,,2,,7,125,OlomouckÃ¡,2022825,2024/03/26 10:23:17.537+00
EZ,3,Brno,15,592,NONE,{65E6E1F9-5215-00D0-4F5A-8F3DAC5EB9F0},,1678131110,,4,,2,71,LidickÃ¡,2022826,2024/03/26 10:26:17.826+00
EZ,2,Brno,15,546,NONE,{7F435FE9-03EE-681D-9E30-18E11C155DB3},,1678417136,,4,,1,70,ÃšdolnÃ­,2022827,2024/03/26 10:28:51.974+00
EZ,3,Brno,6,273,NONE,{B38058C1-41B2-9250-8D5C-216A21AAAA5C},,1678386716,,2,,2,102,MoravskÃ© nÃ¡mÄ›stÃ­,2022828,2024/03/26 10:28:51.932+00
EZ,3,Brno,5,232,NONE,{92972096-DCDD-975D-52D8-AAFD39AE9469},,1678397230,,1,,1,134,Svatoplukova,2022829,2024/03/26 10:28:45.499+00
EZ,3,Brno,9,319,NONE,{0ABCB4D3-8823-2B6A-42DB-5165EEAD021C},,1678421946,,2,,2,98,ÃšzkÃ¡,2022830,2024/03/26 10:28:51.737+00
EZ,4,Brno,3,298,NONE,{5CED3E3D-A8C3-A5CB-CAA0-AFB227E5F7AF},,1678688604,,1,,1,169,Leitnerova,2022831,2024/03/26 10:31:36.088+00
EZ,3,Brno,15,502,NONE,{E5FF957A-A57C-B399-0EBD-A23A1FE4EC83},,1678708052,,4,,2,77,Cejl,2022832,2024/03/26 10:31:35.615+00
EZ,4,Brno,4,210,NONE,{A6AB07D1-1EEB-BCE7-F764-D1A875F8E7F4},,1679043816,PÅ™Ã­vrat,1,,1,170,Topolky,2022833,2024/03/26 10:34:39.949+00
EZ,3,Brno,8,282,NONE,{942C9814-B282-0848-5E6D-EAF7A56B5855},,1679013954,Merhautova,2,,1,74,SlepÃ¡,2022834,2024/03/26 10:34:32.401+00
